hilt,color,opcode_family,platform,index,ignite_byte,refresh_byte,extinguish_byte,clash_byte,ignition_ms,extdelay_ms,extinguish_ms,refresh_cadence_ms,cadence_n,capture_date,notes
Cal Kestis,Purple,Savi,Legacy character,7,0x27,0xA7,0x47,0xC0,301.0,462.0,122.0,1002.0,12.0,2026-05-09,301ms special state-dependent ignition wave (11.8).
Cal Kestis,Red,Legacy,Legacy character,4,0x34,0xB4,0x54,0xC0,172.0,752.0,152.0,1002.0,12.0,2026-05-09,Hybrid: Legacy family for red.
Cal Kestis,Yellow,Savi,Legacy character,3,0x23,0xA3,0x43,0xC0,172.0,40.0,172.0,1002.0,12.0,2026-05-09,Near-zero ExtDelay (40ms).
Cal Kestis,White,Legacy,Legacy character,5,0x35,0xB5,0x55,0xC0,172.0,288.0,298.0,1002.0,12.0,2026-05-09,Hybrid: Legacy family for white.
Mace Windu,Purple,Legacy,Legacy character,3,0x33,0xB3,0x53,0xC0,172.0,638.0,450.0,999.9,20.0,2026-08-30,"Ignite 0x33 (08-28). Box-set unit (Arresting the Chancellor LE) captured 08-30 = ELECTRICALLY IDENTICAL to clamshell (idx3 purple, 1:1 clash 20/20, no firmware split). Timings directly measured 08-30. Extinguish is STOCHASTIC (450 File A / 538 File B, same unit+session, 88ms spread); May 518 sits in that range - the earlier '68ms discrepancy' was fade-time variance, NOT a rig or clamshell-vs-box-set difference. Value shown is File A; treat extinguish as ~450-540. Gates R+B 59.8%, G 0% = purple."
Kanan Jarrus,Blue,Legacy,Legacy character,2,0x32,0xB2,0x45,0xC0,172.0,402.0,258.0,1016.0,4.0,2026-08-28,"Ignite 0x32 CAPTURED 08-28 — plain Legacy; family swap is EXTINGUISH-ONLY (0xA5 then 0x45, 65ms apart, 7-for-7). 1:1 clash."
Devon,Blue,Legacy,Legacy character,2,0x32,0xB2,0x52,0xC0,172.0,638.0,298.0,1009.0,4.0,2026-08-28,Ignite 0x32 CAPTURED 08-28. 1:1 clash.
Maul staff LONG half (Shadow Lord box unit),Blood Red,Legacy,Legacy character,8,0x38,0xB8,0x58,0xC0,174.0,832.0,375.0,1008.2,8.0,2026-08-28,"Ignite 0x38 CAPTURED 08-28. CYCLING clash (1,3,1,4) period 4, phase varies per ignition. May timings are from ONE of the two long units (indistinguishable); both longs behave identically."
Maul staff SHORT half (Shadow Lord box unit),Blood Red,Legacy,Legacy character,8,0x38,0xB8,0x58,0xC0,173.0,830.0,378.0,1020.7,13.0,2026-08-28,"Staff short half (Shadow Lord box, rel. 2026-05-04; orig. Shadow Collective era sold halves separately — Matt owns no SC-era short). 1:1 clash (NO cycling): the staff firmware split is long-vs-short. Timings from May 'shorter hilt' capture (wire-confirmed 1:1 = this unit)."
Maul staff LONG half (Shadow Collective-era unit),Blood Red,Legacy,Legacy character,8,0x38,0xB8,0x58,0xC0,174.0,832.0,375.0,1019.0,4.0,2026-08-28,"Sold individually in the SC era (Matt's loose long half; assumed = tonight's 14-strike unit). CYCLING (1,3,1,4) period 4 — CLOSED by 14-strike run-out. Timings shared with box long (May capture is one of the two, units indistinguishable). NO standalone/TPM Maul product exists in this collection."
Obi-Wan Kenobi (May 2026),Blue,Legacy,Legacy character,9,0x39,0xB9,0x59,0xC0,172.0,635.0,262.0,1015.7,16.0,2026-08-28,Ignite 0x39 CAPTURED 08-28. 1:1 clash.
Master Sol,Blue,Savi,Legacy character,6,0x26,0xA6,0x46,0xC0,172.0,442.0,258.0,1010.6,4.0,2026-05-15,"Color-changer (physical selector: up=blue/mid=off/down=red). Mid-burn transition = bare cross-family re-ignite, NO extinguish (08-28). Cadence extracted from May arc."
Master Sol,Red,Legacy,Legacy character,4,0x34,0xB4,0x54,0xC0,172.0,748.0,258.0,1010.3,4.0,2026-05-15,Reuses the Legacy idx4 red profile.
Kylo Ren,Red,Legacy,Legacy character,1,0x31,0xB1,0x51,0xC0,,,,,,2026-08-28,"NO periodic refresh: unstable-effect flicker stream — triangle sweep 0x69-0x7F, 125.8ms steps (stdev 0.0), 0x7D never emitted. Single 0xB1 before extinguish only. Do NOT apply cadence fallback. Controller-fork reference model."
Qui-Gon Jinn,Green,Legacy,Legacy character,6,0x36,0xB6,0x56,0xC0,172.0,292.0,258.0,1008.0,16.0,2026-08-22,Doubles ~35-40% stochastic; force+cooldown ruled out; upward-strike bias suggestive (08-28). Ign/ExtDelay/Ext desk-extractable from 08-21 arc. Ign/ExtDelay/Ext extracted 08-29 from the 08-21 arc (stock RGB blade; gate=green 99.6%).
Rey Skywalker,Yellow,Savi,Legacy character,11,0x2B,0xAB,0x4B,0xC0,172.0,40.0,165.0,1005.1,13.0,2026-08-22,"Savi opcodes, Legacy-platform cadence. Long clash = impulse-accumulation burst (15x 0xC0 @128ms, fixed ~1.8s; n=6, trigger found 08-28). Ign timings desk-extractable. Ign/ExtDelay/Ext extracted 08-29 from 08-22 arc. ExtDelay 40 = yellow-slot signature (cf Cal yellow 40, Savi orange 55)."
Darth Vader,Red,Legacy,Legacy character,7,0x37,0xB7,0x57,0xC0,172.0,742.0,262.0,1012.21,40.0,2026-08-28,Cadence stdev 0.11ms — tightest clock in fleet.
Shin Hati,Orange,Legacy,Legacy character,10,0x3A,0xBA,0x5A,0xC0,179.0,302.0,270.0,1013.0,15.0,2026-08-22,Blade keyed per-SET. Orange blade gate-PWM ~15.7kHz (blade firmware). Ign timings desk-extractable. Ign/ExtDelay/Ext extracted 08-29 from 08-22 fullcycle. Keyed ORANGE set blade: wave ~180ms (not the 172 stock constant); order base->tip. Not re-checkable until set blade re-leaded.
Baylan Skoll (box-set LE),Orange,Legacy,Legacy character,10,0x3A,0xBA,0x5A,0xC0,180.0,305.0,272.0,2113.6,9.0,2026-08-29,"Same idx/opcodes as Shin; ~2.09x cadence (LE firmware-split #1). Cadence 2113.58 (n=9, stdev 0.27) from 08-29 pure steadyburn legacy-baylan-boxset-steadyburn-200kHz-2026-08-29.dsl; 08-22 gave 2115.3 (n=6) — condition drift ~0.08% (cf Savi range). Ign/ExtDelay/Ext extracted 08-29 from 08-22 boxset fullcycle. Keyed orange set blade ~180ms wave (matches Shin within 1ms; same blade). 05-08 arc capture was a dud (CH0-only). 08-29 cadence from STANDALONE unit (≡ box-set, owner-confirmed; standalone now confirmed talking)."
Kit Fisto,Green,Legacy,Legacy character,6,0x36,0xB6,0x56,0xC0,172.0,292.0,258.0,1004.2,20.0,2026-08-30,"Arresting the Chancellor LE box-set. Byte- AND timing-identical to Qui-Gon (idx6 green): Legacy protocol is color-keyed, not character-keyed. 1:1 clash (20/20, zero doubles). Clash-flash = R+G full / blue off (§5.6)."
Saesee Tiin,Green,Legacy,Legacy character,6,0x36,0xB6,0x56,0xC0,174.0,295.0,255.0,1017.2,20.0,2026-08-30,"Arresting the Chancellor LE box-set. Matches Qui-Gon/Kit Fisto (idx6 green, color-keyed). 1:1 clash. One-off 0xBF (idx15) red-render flash during heavy clashing, NOT reproduced in 26 fresh-probe strikes: most likely clash-induced DATA-line glitch (Gotcha #1), not firmware. Clash-flash R+G/blue-off."
Agen Kolar,Blue,Legacy,Legacy character,2,0x32,0xB2,0x52,0xC0,172.0,632.0,258.0,1008.7,20.0,2026-08-30,"Arresting the Chancellor LE box-set. Blade is BLUE (corrected at bench per §5.5, not green). idx2 blue, matches Kanan/Devon. Clean Legacy 0x52 extinguish: does NOT have Kanan Savi-extinguish quirk, confirming that quirk is Kanan-specific (§7.1). 1:1 clash (20/20). Clash-flash R+G/blue-off."
